"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"343","2025-07-08 13:01:04 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/THB","32.48900","2371.00","Buy","0.6570","","","","","0.00000","0.0000","0.0000","","0.0306","3.26990","","8552.40"
"344","2025-07-08 13:30:11 +07","MARKET_ORDER","CLIENT_ORDER","USD/CHF","","48264.00","Buy","","","","","","","","","","","","",""
"345","2025-07-08 13:30:11 +07","ORDER_FILL","MARKET_ORDER","USD/CHF","0.79713","48264.00","Buy","4.2387","","","","","0.00000","0.0000","0.0000","","","0.00000","","8552.40"
"346","2025-07-08 13:30:11 +07","MARKET_ORDER","CLIENT_ORDER","USD/CHF","","48264.00","Buy","","","","","","","","","","","","",""
"347","2025-07-08 13:30:11 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"348","2025-07-08 14:00:06 +07","MARKET_ORDER","POSITION_CLOSEOUT","AUD/USD","","59027.00","Sell","","","","","","","","","","","","",""
"349","2025-07-08 14:00:06 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","AUD/USD","0.65314","59027.00","Sell","2.0659","","","","","0.00000","0.0000","0.0000","","1.0000","100.34590","","8652.75"
"350","2025-07-08 14:00:09 +07","MARKET_ORDER","POSITION_CLOSEOUT","AUD/CAD","","43221.00","Sell","","","","","","","","","","","","",""
"351","2025-07-08 14:00:09 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","AUD/CAD","0.89168","43221.00","Sell","3.6401","","","","","0.00000","0.0000","0.0000","","0.7287","68.97310","","8721.72"
"352","2025-07-08 14:15:06 +07","MARKET_ORDER","CLIENT_ORDER","USD/CHF","","49332.00","Sell","","","","","","","","","","","","",""
